video_title,video_caption,date_time,video_slug,video_views,video_likes,video_dislikes,video_comments
KAONASHI (No-Face) Happily Plays Totoro at a Luxury in Singapore | W Singapore,"['He was supposed to play a music from Spirited Away. \n\nSubscribe For New Videos： ', 'http://urx3.nu/HTUJ', '\n\nMy Travel Food Channel『Taberu Travel』\n▶', 'https://www.youtube.com/c/TaberuOjisan', '\n\n', '#Totoro', '\u3000', '#Fingerstyle', '\n━━━━━━━━━━━━\n✔️チャンネル登録！（subscribe)\n ', 'http://urx3.nu/HTUJ', '\n━━━━━━━━━━━━\n🌐SNS・ブログ\n・Instagram → ', 'https://www.instagram.com/ghibli_ojisan/', '\n・Twitter → ', 'https://twitter.com/ghibli_ojisan', '\n・Blog→ ', 'https://www.ghib-oji.com/', '\n━━━━━━━━━━━━\n🎸おすすめ動画3選！\n・台湾・九份で「いつも何度でも」を弾いてみた\n\u3000', 'https://youtu.be/WudKhqj_Na8', '\n・イタリアでトトロ弾いた結果…\n\u3000', 'https://youtu.be/3NptDf229nk', '\n・サマルカンドでザナルカンドを弾いてみた\n\u3000', 'https://youtu.be/_jhMSsAFKPQ', '\n━━━━━━━━━━━━\n😲自己紹介\n会社を辞め、ギターを持って旅に出たGhibli Ojisan（ジブリおじさん）です。11ヶ月で27カ国訪れ、世界各地でジブリのインストや叩き系ギターを弾いてきました。\n\n2018年8月にYouTube公式「急上昇クリエイター」として選出されたことをキッカケに、海外旅行やシンガポールについての動画もアップし始めました。\n\n世界旅行後は台湾1ヶ月プチ移住、ノルウェー3ヶ月生活（農業ボランティア）など経験し、2019年1月にシンガポールに拠点を移しました。\n\n音楽系・旅系の動画をアップしていますので、よろしければチャンネル登録と各種SNSのフォローお願いします！\n\n→チャンネル登録\u3000', 'http://urx3.nu/HTUJ', '\n\n━━━━━━━━━━━━\n▼お問い合わせ\nお仕事のご依頼・お問い合わせはコチラ→ ', 'https://www.ghib-oji.com/contact/', '\n\n3〜5日以内に返信いたしますが、返信ない場合はTwitter/InstagramのDMにてお願いします']",23 Jul 2019,kM4ydowdaq0,"6,644 views",289,14,49 Comments
1週間の四国・広島旅行をムリヤリ4分でまとめるとこうなる,"['提供：マッハバイト\n\n◆ マッハバイト\nマッハバイトでバイトを決めて最大1万円をGETしよう！\n', 'https://j-sen.jp/c/4trft', '\n\n＝＝\n※この動画はぼくの滑舌の悪さを楽しむ動画です。\n\nノルウェーから帰国し、5ヶ月ぶりの日本。\n1週間の香川・愛媛・広島旅行の様子をマッハでご紹介します！（改めて見ると食べてしかいない笑）\n\n本当に美味しかったのは：\n\n【香川・高松】\n・『蘭丸』の骨付鳥\n・『連絡船』のうどん（動画未収録）\n\n【愛媛・松山】\n・『noma-noma』のみかんカキ氷（動画未収録）\n・道後温泉の個室休憩室でひとっぷろ浴びた後に食べる、お坊ちゃん団子とお茶\n\n【広島】\n・『ロベズ』のお好み焼き\n・『宮島ブルワリー』のビールテイスティングセット\n・『魚寅』の刺身盛り合わせ\n＝＝\n\n▼ Follow me!\nSubscribe（チャンネル登録） → ', 'http://urx3.nu/HTUJ', '\nInstagram → ', 'https://www.instagram.com/ghibli_ojisan/', '\nTwitter → ', 'https://twitter.com/ghibli_ojisan', '\n\n▼ Other Videos（おすすめ動画）\n-台湾・九份で「いつも何度でも」を弾いてみた（Spirited Away, Played at Taiwan）\n', 'https://youtu.be/WudKhqj_Na8', '\n- イタリアでトトロ弾いた結果…（Totoro Played at Italy）\n', 'https://youtu.be/3NptDf229nk', '\n-サマルカンドでザナルカンドを弾いてみた（Playing ""To Zanarkand (FFX)"" at Samarkand）\n', 'https://youtu.be/_jhMSsAFKPQ', '\n\n▼自己紹介\n会社を辞め、ギターを持って旅に出たじぶりおじさんです。11ヶ月で26カ国訪れることができ、世界各地でジブリのインストや叩き系ギターを弾いてきました。\nたまに音楽系・旅系の動画をアップしていますので、よろしければチャンネル登録と各種SNSのフォローよろしくお願いします。\n\n▼お問い合わせ・企業案件・ライブ出演のご依頼\n', 'https://ssl.form-mailer.jp/fms/dea63a...', '\n\n※外部リンクのお問い合わせフォームに飛びます。\n3〜5日以内に返信いたしますが、返信ない場合はTwitter/InstagramのDMにてお願いします']",24 Sep 2018,t9drTGK1QbQ,"14,580 views",421,16,121 Comments
クリスマスに聴きたくなるジブリ楽曲を演奏してみた｜もののけ姫・ソロギター,"['メリージブリマス！\n\n今日はクリスマスということで、個人的にクリスマスに聴きたくなる、""あの""ジブリ音楽をソロギターで弾いてみました！\n\nまだまだ冬本番はこれからということで、次は「クリスマスと言わす、冬に聴きたくなるジブリ楽曲」を弾いてみたいと思います。\n\nぜひ皆さんが聴きたい音楽をコメントで残していってください＾＾\n\n\n\n━━━━━━━━━━━━\n✔️チャンネル登録！（subscribe)\n ', 'http://urx3.nu/HTUJ', '\n\nInstagram → ', 'https://www.instagram.com/ghibli_ojisan/', '\nTwitter → ', 'https://twitter.com/ghibli_ojisan', '\n\n━━━━━━━━━━━━\n🎸おすすめ動画\n・台湾・九份で「いつも何度でも」を弾いてみた\n\u3000', 'https://youtu.be/WudKhqj_Na8', '\n・イタリアでトトロ弾いた結果…\n\u3000', 'https://youtu.be/3NptDf229nk', '\n・サマルカンドでザナルカンドを弾いてみた\n\u3000', 'https://youtu.be/_jhMSsAFKPQ', '\n\n━━━━━━━━━━━━\n▼自己紹介\n会社を辞め、ギターを持って旅に出たジブリおじさんです。11ヶ月で26カ国訪れることができ、世界各地でジブリのインストや叩き系ギターを弾いてきました。\n音楽系・旅系の動画をアップしていますので、よろしければチャンネル登録と各種SNSのフォローよろしくお願いします。\n\n━━━━━━━━━━━━\n▼お問い合わせ\nお仕事のご依頼・お問い合わせはコチラ→ ', 'https://ssl.form-mailer.jp/fms/dea63a...', '\n\n3〜5日以内に返信いたしますが、返信ない場合はTwitter/InstagramのDMにてお願いします']",25 Dec 2018,JZtbpGp3OKI,"7,378 views",330,3,103 Comments
"""Mom, My Merch is Out""","[""My merch is out! I'm showing them to my Singaporean mother in law and you! You can purchase them from the links below. Thank you for always watching my videos and I hope you stay healthy during this difficult period. Huat AH!!\n\n👕Merch Links:\n-----\nSingapore & Neighboring Countries\n"", 'https://ghib-ojisan.secure-decoration...', '\n\nUSA & Europe\n', 'https://teespring.com/stores/ghib-ojisan', '\n\nJapan\n', 'https://suzuri.jp/ghib-ojisan', '\n-----\n\nMake sure you check out my live stream & food channel, Taberu Travel too.\n', 'https://www.youtube.com/channel/UCuod...', '\n\n😃Subscribe： ', 'http://urx3.nu/HTUJ', '\n🎥Watch - My Culture Shock in Japan：', 'https://www.youtube.com/watch?v=v3cQU...', '\n\nFollow me on social medias!\n📸Instagram  ', 'https://www.instagram.com/ghibli_ojisan/', '\n🐦Twitter ', 'https://twitter.com/ghibli_ojisan', '\n\nBusiness Enquiries\n✉️ghib.ojisan@gmail.com\nYou are welcome to send fan mails but I may not be able to respond to all of them. But I immensely appreciate your support. Thank you!\n \n', '#Singapore', ' ', '#GhibOjisan', ' ', '#Merch']",10 Aug 2020,xeU4_oF7YkM,"21,833 views",913,16,106 Comments
Watching My Bangladeshi Bro's TikTok,"[""I have a good friend who's a migrant worker from Bangladeshi, and it looks like he is quite active on Tik Tok (Likee). Because we have different cultural backgrounds, watching his Tik Tok should be interesting. Let's check this out.\n\nBro's Likee Account:\n"", 'https://bit.ly/2KhHUqP', '\n\n😃Subscribe： ', 'http://urx3.nu/HTUJ', '\n🎥Working in Japan - 7 Things That Might Shock You⚡💀：', 'https://www.youtube.com/watch?v=qDL7d...', '\n\nFollow me on social medias!\n📸Instagram  ', 'https://www.instagram.com/ghibli_ojisan/', '\n🐦Twitter ', 'https://twitter.com/ghibli_ojisan', '\n\nBusiness Enquiries\n✉️ghib.ojisan@gmail.com\n\n', '#Singapore', ' ', '#TikTok', ' ', '#Likee']",20 Apr 2020,o-qgvU2g47g,"24,960 views",962,17,114 Comments
視聴者からシンガポール現地採用は落ちこぼれと言われました,"['※このコメント主の悪口は言わないでくださいね！\n\n今回、「シンガポール就職に英語は必要？」って動画に気になるコメントをいただき、ちょうどぼくも話したい話題だったのでぼくの意見についてお話しました！\n\n▼元動画はこちら\n', 'https://www.youtube.com/watch?v=lDxV7...', '\n\n結局、駐在員も現地採用もそれぞれメリット・デメリットがあって、「どっちが良い」「どっちが勝ち組」とか一概に言えないと思うんですよね。\n\nこの辺のお話はまた別の動画でするかもしれませんが、ぜひ皆さんの意見もお聞かせください！\n\n\n━━━━━━━━━━━━\n✔️チャンネル登録！（subscribe)\n ', 'http://urx3.nu/HTUJ', '\n\nInstagram → ', 'https://www.instagram.com/ghibli_ojisan/', '\nTwitter → ', 'https://twitter.com/ghibli_ojisan', '\n\n━━━━━━━━━━━━\n🎸おすすめ動画\n・台湾・九份で「いつも何度でも」を弾いてみた\n\u3000', 'https://youtu.be/WudKhqj_Na8', '\n・イタリアでトトロ弾いた結果…\n\u3000', 'https://youtu.be/3NptDf229nk', '\n・サマルカンドでザナルカンドを弾いてみた\n\u3000', 'https://youtu.be/_jhMSsAFKPQ', '\n\n━━━━━━━━━━━━\n▼自己紹介\n会社を辞め、ギターを持って旅に出たジブリおじさんです。11ヶ月で26カ国訪れることができ、世界各地でジブリのインストや叩き系ギターを弾いてきました。\n音楽系・旅系の動画をアップしていますので、よろしければチャンネル登録と各種SNSのフォローよろしくお願いします。\n\n━━━━━━━━━━━━\n▼お問い合わせ\nお仕事のご依頼・お問い合わせはコチラ→ ', 'https://ssl.form-mailer.jp/fms/dea63a...', '\n\n3〜5日以内に返信いたしますが、返信ない場合はTwitter/InstagramのDMにてお願いします\n\n', '#現地採用', '\u3000', '#駐在員']",11 Mar 2019,3ve4qIa547U,"55,394 views","1,432",72,472 Comments
北欧ノルウェーにプチ移住した感想｜3ヶ月の住み込みボランティア体験（WWOOF）,"['WWOOF公式サイト：', 'https://wwoofnorway.org/', '\n\n【ぼくのノルウェー動画】\n▼ノルウェーのイチゴ農家でボランティアしてる僕の一日\n\u3000', 'https://www.youtube.com/watch?v=kIH9f...', '\n\n▼ノルウェーの農業生活\u3000休日編\n\u3000', 'https://www.youtube.com/watch?v=9hJwf...', '\n\n▼ノルウェーのハーブ農家でボランティアしてる僕の一日 \n\u3000', 'https://www.youtube.com/watch?v=r41BM...', '\n\n▼ノルウェーに住んでびっくりしたことTOP7\n\u3000', 'https://www.youtube.com/watch?v=XtkGZ...', '\n\nノルウェーでの生活は、長いようで短い3ヶ月でした。本当に密度が濃かった。\n\nWWOOFを使えばボランティアする代わりに無料でノルウェーに住めるのでおすすめです。（物価が高いので普通に1ヶ月滞在しようとしたら財布が爆発します）\n\n「良い仲間」、「充実した余暇」、「人生に大きな影響を与えるかもしれない国際交流」などができますよ。\n\n加えて、ノルウェーの自然は壮大で空気もきれい。ほんと癒やされました。\n\n・新しい経験がしてみたい\n・なんか疲れた\n\nって人は是非いってみてください！\n\n【英語について】\n農業ボランティア先での仕事自体は単純作業なので、英語が喋れなくてもできると思います。\nが、一番の魅力である「他の人との交流」ができにくくなるので、日常会話レベルまで喋れたほうが楽しめます。\n\nボランティアを最大限 有意義にするなら、頑張って英語を勉強しましょう！\n\n以下の動画でおすすめの英語学習アプリについて紹介してます。\n\n▼「YOUはなぜ母国を離れた？外国人5人に聞いたら勇気が出た」\n\u3000', 'https://www.youtube.com/watch?v=efN5a...', '\n\n\n質問あればコメント残していってくださいね＾＾\nそれでは、よいお年を。ありがとうございました！\n\n━━━━━━━━━━━━\n✔️チャンネル登録！（subscribe)\n ', 'http://urx3.nu/HTUJ', '\n\nInstagram → ', 'https://www.instagram.com/ghibli_ojisan/', '\nTwitter → ', 'https://twitter.com/ghibli_ojisan', '\n\n━━━━━━━━━━━━\n🎸おすすめ動画\n・台湾・九份で「いつも何度でも」を弾いてみた\n\u3000', 'https://youtu.be/WudKhqj_Na8', '\n・イタリアでトトロ弾いた結果…\n\u3000', 'https://youtu.be/3NptDf229nk', '\n・サマルカンドでザナルカンドを弾いてみた\n\u3000', 'https://youtu.be/_jhMSsAFKPQ', '\n\n━━━━━━━━━━━━\n▼自己紹介\n会社を辞め、ギターを持って旅に出たジブリおじさんです。11ヶ月で26カ国訪れることができ、世界各地でジブリのインストや叩き系ギターを弾いてきました。\n音楽系・旅系の動画をアップしていますので、よろしければチャンネル登録と各種SNSのフォローよろしくお願いします。\n\n━━━━━━━━━━━━\n▼お問い合わせ\nお仕事のご依頼・お問い合わせはコチラ→ ', 'https://ssl.form-mailer.jp/fms/dea63a...', '\n\n3〜5日以内に返信いたしますが、返信ない場合はTwitter/InstagramのDMにてお願いします']",30 Dec 2018,L77_Ts6E1pc,"171,265 views","2,296",167,442 Comments
"CARRYING YOU, Finger Style Guitar Cover Played in World Heritage Site| Laputa: Castle in the Sky","['This is my finger style guitar cover of CARRYING YOU, from the Ghibli Film ""Laputa: Castle in the Sky"".\n\nThis was filmed at Melakka, Malaysia. It is a world heritage site near Singapore, where I live. \nSt. Paul Church was a perfect location to play Carrying You from Castle in the Sky, because the church resembles the film. Old and green, it will make you feel like you\'re walking in part of the film.']",30 Jun 2019,xeSFbNR9Z4I,"80,805 views","1,378",23,166 Comments
"KAZE NI NARU Finger Style Guitar Performance! From the Ghibli movie ""The Cat Returns""","['Hi, Ghibli Ojisan here.\n\nToday, I played ""Kaze Ni Naru"" from the Ghibli Studio movie ""The Cat Returns"". This is a finger style guitar cover.\n\nPlayed in Sentosa, Singapore\n\n* I did not collect money and only played for recreational purposes.']",17 Jun 2019,j68rX2HvzlI,"389,926 views","6,014",85,499 Comments
This might make you NOT wanting to move to Singapore..,"['House lizards (geckos).\n\nApparently, they appear quite often in Singapore HDBs and condos. They usually appear from surprise and are quite fast, so it scares the hell out of the local Singaporeans.\n\nHowever, for a Japanese like me, I feel they are WAY better than cockroaches. In fact, If you look carefully, house lizards have cute faces  :)']",2 Mar 2019,6VcRF_-x7rE,"9,544 views",217,13,152 Comments
"『ノルウェーの森』をノルウェーの森で弾いてみた｜The Beatles ""Norwegian Wood"" 【ビートルズ・ウクレレ Ukulele】","['The Beatles（ビートルズ）の名曲『Norwegian Wood（ノルウェーの森）』をノルウェーの森で弾いてみました！ソロ・ウクレレでのカバーです。\n\nいまノルウェーで農業ボランティアしているので撮影場所は「その辺の森」です笑。\n\n原曲を解釈すると、「ノルウェーの森というよりは「ノルウェーの家」で撮影した方が良かったかも…と思っていましたが、今回はストレートに森で演奏しました。\n\nぜひ聴いてみてください！\n\nP.S.\n足元にスマホを置いて録音したので、ハエや靴と草の摩擦音が入ってしまいすみません。ハエと蚊の数が半端なかったです…。\n\nP.S.2\nメイキング映像はこちら！→', 'https://youtu.be/0oMslC1sGNU', '\n\n\n▼ Follow me!\nSubscribe（チャンネル登録） → ', 'http://urx3.nu/HTUJ', '\nInstagram → ', 'https://www.instagram.com/ghibli_ojisan/', '\nTwitter → ', 'https://twitter.com/ghibli_ojisan', '\n\n▼ Other Videos（おすすめ動画）\n-台湾・九份で「いつも何度でも」を弾いてみた（Spirited Away, Played at Taiwan）\n', 'https://youtu.be/WudKhqj_Na8', '\n- イタリアでトトロ弾いた結果…（Totoro Played at Italy）\n', 'https://youtu.be/3NptDf229nk', '\n-サマルカンドでザナルカンドを弾いてみた（Playing ""To Zanarkand (FFX)"" at Samarkand）\n', 'https://youtu.be/_jhMSsAFKPQ', '\n\n▼自己紹介\n会社を辞め、ギターを持って旅に出たじぶりおじさんです。11ヶ月で26カ国訪れることができ、世界各地でジブリのインストや叩き系ギターを弾いてきました。\nたまに音楽系・旅系の動画をアップしていますので、よろしければチャンネル登録と各種SNSのフォローよろしくお願いします。\n\n▼お問い合わせ・企業案件・ライブ出演のご依頼\n', 'https://ssl.form-mailer.jp/fms/dea63a...', '\n\n※外部リンクのお問い合わせフォームに飛びます。\n3〜5日以内に返信いたしますが、返信ない場合はTwitter/InstagramのDMにてお願いします']",4 Aug 2018,0eNA4TpXV6k,"17,966 views",610,6,92 Comments
Japanese Discovers Singapore's Most Expensive Neighborhood | Tanglin Vlog,"[""Yesterday I visited Yishun, one of Singapore's most dangerous hood (but apparently that's a local joke). So today, I came to Tanglin. This area is known for incredibly expensive landed properties. I heard that the rich people live here, so I decided to see how it's like. Check out what I found. \n\nTurn on cc for English subtitles!\nSubscribe: "", 'http://urx3.nu/HTUJ', '\n\nBelow Japanese:\n世界中のディープスポットを巡る企画が好評なので、今回はシンガポールの家賃が高い高級住宅街エリア『Tanglin（タングリン）』を散策！\n世界遺産のボタニックガーデン（Botanic Garden）のあるエリアです。不動産屋の知り合いに『めちゃくちゃ家賃が高い』と聞いたので行ってきたわけですが、やはりヤバすぎましたね…笑。住む世界が違います。\n\n😃チャンネル登録： ', 'http://urx3.nu/HTUJ', '\n🎥シンガポールで最も危険なエリア『イーシュン』に潜入：', 'https://www.youtube.com/watch?v=jOO7A...', '\n\nシンガポールには、\n・セントーサコーブ\n・オーチャード\n・タンジョンパガー\nなど、他にも尋常じゃないくらい家賃の高いエリアがありますので、需要ありそうでしたらまた撮影します！\n\nこの動画が少しでも面白かったらぜひグッドボタン＆チャンネル登録お願いします！隣のベルマークを押せば動画更新時に通知がいきます。みなさんからのコメントもすべて読んでいますのでお気軽に＾＾\n\nシンガポール観光情報サイトオープン！\n▶', 'https://nekkyo-singapore.com/', '\n\n-----\nスポンサーさま\n★株式会社テイクシータ\u3000ルームランプLED専門店 \n', 'https://item.rakuten.co.jp/senmontent...', '\n★なかがわ野菊の里 ', 'https://www.youtube.com/user/nogikuno...', '\n★宮古島ジョージ ', 'https://www.youtube.com/channel/UCVp8...', '\n\n\n楽器スポンサーさま\n★YAMAHA Singapore FGX5 ', 'https://sg.yamaha.com/index.html', '\n\nスポンサーにご興味ある方は ', 'https://www.ghib-oji.com/contact/', ' よりご連絡ください。\n-----\n\nシンガポールの観光チケットが最大60％OFF\n▶', 'https://www.govoyagin.com/ja/things-t...', '\n\nジブリおじさんに仕事を依頼する\n▶', 'https://www.ghib-oji.com/service/', '\n\n究極の飯テロ！旅するグルメチャンネル『Taberu Travel』\n▶', 'https://www.youtube.com/c/TaberuOjisan', '\n\nジブリおじさんの撮影機材\n▶', 'https://www.ghib-oji.com/my-equipment/', '\n\n使用音楽\n▶', 'https://www.epidemicsound.com/referra...', '\n\n\n', '#シンガポール', '\u3000\n━━━━━━━━━━━━\n✔️チャンネル登録！（subscribe)\n ', 'http://urx3.nu/HTUJ', '\n━━━━━━━━━━━━\n🌐SNS・ブログ\n・Instagram → ', 'https://www.instagram.com/ghibli_ojisan/', '\n・Twitter → ', 'https://twitter.com/ghibli_ojisan', '\n・Blog→ ', 'https://www.ghib-oji.com/', '\n━━━━━━━━━━━━\n🎸おすすめ動画3選！\n・台湾・九份で「いつも何度でも」を弾いてみた\n\u3000', 'https://youtu.be/WudKhqj_Na8', '\n・イタリアでトトロ弾いた結果…\n\u3000', 'https://youtu.be/3NptDf229nk', '\n・サマルカンドでザナルカンドを弾いてみた\n\u3000', 'https://youtu.be/_jhMSsAFKPQ', '\n━━━━━━━━━━━━\n😲自己紹介\n会社を辞め、ギターを持って旅に出たGhibli Ojisan（ジブリおじさん）です。11ヶ月で27カ国訪れ、世界各地でジブリのインストや叩き系ギターを弾いてきました。\n\n2018年8月にYouTube公式「急上昇クリエイター」として選出されたことをキッカケに、海外旅行やシンガポールについての動画もアップし始めました。\n\n世界旅行後は台湾1ヶ月プチ移住、ノルウェー3ヶ月生活（農業ボランティア）など経験し、2019年1月にシンガポールに拠点を移しました。\n\n音楽系・旅系の動画をアップしていますので、よろしければチャンネル登録と各種SNSのフォローお願いします！\n\n→チャンネル登録\u3000', 'http://urx3.nu/HTUJ', '\n\n━━━━━━━━━━━━\n▼お問い合わせ\nお仕事のご依頼・お問い合わせはコチラ→ ', 'https://www.ghib-oji.com/contact/', '\n\n3〜5日以内に返信いたしますが、返信ない場合はTwitter/InstagramのDMにてお願いします']",12 Dec 2019,-K7w6cKu1d0,"143,498 views","3,080",67,394 Comments
🇲🇾Is JB Really Dangerous? Crossed the Border to Malaysia,"[""Enable cc for English subtitles! Many Singaporean viewers told me on the previous videos that I need to be careful in JB (Johor Bahru), Malaysia. Apparently, it is a not-so-safe-city. So I decided to stroll around the city of Johor and talk to strangers. Let's find out if it is really dangerous.\n\nThank you insta360 for sending me this camera. Check out the features from the link below.\n"", 'https://www.insta360.com/sal/go?insrc...', '\n\nThis is not a sponsored video. \n\n😃Subscribe： ', 'http://urx3.nu/HTUJ', '\n🎥Almost Regretted Crossing the Border to JB：', 'https://www.youtube.com/watch?v=QUKZL...', '\n\nFollow me on social medias!\n📸Instagram  ', 'https://www.instagram.com/ghibli_ojisan/', '\n🐦Twitter ', 'https://twitter.com/ghibli_ojisan', '\n\nEnquiries\n✉️Please DM me on Instagram or Twitter\n\nBelow Japanese:\nシンガポールからマレーシア・ジョホールバルに陸路で国境超えしました！今回はジョホールの街を散策します。シンガポール人の視聴者さんは口を揃えて「治安に気をつけろ」と言ってきますが、果たして本当に危険なのでしょうか？ひったくりを考慮して、一眼レフを閉まいコンデジとinsta 360 GOで撮影。\n\n▼insta 360 GOの商品リンク\n', 'https://www.insta360.com/sal/go?insrc...', '\n\nシンガポールからわずか1kmしか離れていないマレーシアのジョホール・バル。町並みはSGと似ていますが、地面で寝ている人もいるし、宝石店は頑丈にガードされているし、やはりどこか雰囲気が違う。\n\n😃チャンネル登録： ', 'http://urx3.nu/HTUJ', '\n🎥前回の動画「さようなら、シンガポール」：', 'https://www.youtube.com/watch?v=QUKZL...', '\n\n▼渡航前にチェック！シンガポール観光情報サイト『シンガポールと熱狂』 ', 'https://nekkyo-singapore.com/', '\n\nこの動画が少しでも面白かったらぜひグッドボタン＆チャンネル登録お願いします！みなさんからのコメントもすべて読んでいますのでお気軽に！\n\n-----\nスポンサーさま(Sponsors)\n★株式会社テイクシータ\u3000ルームランプLED専門店 \n', 'https://item.rakuten.co.jp/senmontent...', '\n★なかがわ野菊の里 ', 'https://www.youtube.com/user/nogikuno...', '\n★宮古島ジョージ ', 'https://www.youtube.com/channel/UCVp8...', '\n\n楽器スポンサーさま\n★YAMAHA Singapore FGX5 ', 'https://sg.yamaha.com/index.html', '\n\nスポンサーにご興味ある方は ', 'https://www.ghib-oji.com/contact/', "" よりご連絡ください。(If you're interested in sponsoring my channel, please drop a message from above)\n-----\n\nお問い合わせ（Enquries）\n▶"", 'https://www.ghib-oji.com/service/', '\n\n究極の飯テロ！旅するグルメチャンネル『Taberu Travel』\n▶', 'https://www.youtube.com/c/TaberuOjisan', '\n\nジブおじさんの撮影機材\n▶', 'https://www.ghib-oji.com/my-equipment/', '\n\n', '#シンガポール', '\u3000\n━━━━━━━━━━━━\n✔️チャンネル登録！（subscribe)\n ', 'http://urx3.nu/HTUJ', '\n━━━━━━━━━━━━\n🌐SNS・ブログ\n・Instagram → ', 'https://www.instagram.com/ghibli_ojisan/', '\n・Twitter → ', 'https://twitter.com/ghibli_ojisan', '\n・Blog→ ', 'https://www.ghib-oji.com/', '\n━━━━━━━━━━━━\n🎸おすすめ動画3選！\n・台湾・九份で「いつも何度でも」を弾いてみた\n\u3000', 'https://youtu.be/WudKhqj_Na8', '\n・イタリアでトトロ弾いた結果…\n\u3000', 'https://youtu.be/3NptDf229nk', '\n・サマルカンドでザナルカンドを弾いてみた\n\u3000', 'https://youtu.be/_jhMSsAFKPQ', '\n━━━━━━━━━━━━\n😲自己紹介\n会社を辞め、ギターを持って旅に出たGhibli Ojisan（ジブリおじさん）です。11ヶ月で27カ国訪れ、世界各地でジブリのインストや叩き系ギターを弾いてきました。\n\n2018年8月にYouTube公式「急上昇クリエイター」として選出されたことをキッカケに、海外旅行やシンガポールについての動画もアップし始めました。\n\n世界旅行後は台湾1ヶ月プチ移住、ノルウェー3ヶ月生活（農業ボランティア）など経験し、2019年1月にシンガポールに拠点を移しました。\n\n音楽系・旅系の動画をアップしていますので、よろしければチャンネル登録と各種SNSのフォローお願いします！\n\n→チャンネル登録\u3000', 'http://urx3.nu/HTUJ', '\n\n━━━━━━━━━━━━\n▼お問い合わせ\nお仕事のご依頼・お問い合わせはコチラ→ ', 'https://www.ghib-oji.com/contact/', '\n\n3〜5日以内に返信いたしますが、返信ない場合はTwitter/InstagramのDMにてお願いします']",16 Jan 2020,gzgvqsYPEgI,"59,844 views","1,088",42,447 Comments
路上演奏のライセンスを取りにオーディションに参加してきた！シンガポール ・バスキング,"['この動画の続き：', 'https://youtu.be/R4rwlGx0Kog', '\n\n今回はシンガポールで路上演奏するためのライセンスを取得しに、オーディションに参加してきました！\n\n結果は1〜2ヶ月後ですが、受かるかどうか全く未知数…。\n合格したらバンバン路上に出ます！\n\n今流行りの弾き逃げもやるかも？笑\n\n\n\n', '#シンガポール', '\u3000', '#バスキング', '\n━━━━━━━━━━━━\n✔️チャンネル登録！（subscribe)\n ', 'http://urx3.nu/HTUJ', '\n━━━━━━━━━━━━\n🌐SNS・ブログ\n・Instagram → ', 'https://www.instagram.com/ghibli_ojisan/', '\n・Twitter → ', 'https://twitter.com/ghibli_ojisan', '\n・Blog→ ', 'https://www.ghib-oji.com/', '\n━━━━━━━━━━━━\n🎸おすすめ動画3選！\n・台湾・九份で「いつも何度でも」を弾いてみた\n\u3000', 'https://youtu.be/WudKhqj_Na8', '\n・イタリアでトトロ弾いた結果…\n\u3000', 'https://youtu.be/3NptDf229nk', '\n・サマルカンドでザナルカンドを弾いてみた\n\u3000', 'https://youtu.be/_jhMSsAFKPQ', '\n━━━━━━━━━━━━\n😲自己紹介\n会社を辞め、ギターを持って旅に出たGhibli Ojisan（ジブリおじさん）です。11ヶ月で27カ国訪れ、世界各地でジブリのインストや叩き系ギターを弾いてきました。\n\n2018年8月にYouTube公式「急上昇クリエイター」として選出されたことをキッカケに、海外旅行やシンガポールについての動画もアップし始めました。\n\n世界旅行後は台湾1ヶ月プチ移住、ノルウェー3ヶ月生活（農業ボランティア）など経験し、2019年1月にシンガポールに拠点を移しました。\n\n音楽系・旅系の動画をアップしていますので、よろしければチャンネル登録と各種SNSのフォローお願いします！\n\n→チャンネル登録\u3000', 'http://urx3.nu/HTUJ', '\n\n━━━━━━━━━━━━\n▼お問い合わせ\nお仕事のご依頼・お問い合わせはコチラ→ ', 'https://ssl.form-mailer.jp/fms/dea63a...', '\n\n3〜5日以内に返信いたしますが、返信ない場合はTwitter/InstagramのDMにてお願いします']",20 Apr 2019,58rtK6umpOI,"13,381 views",455,6,107 Comments
