response_to,user,timestamp,comment,likes,replies_attracted,channel
CULTURE SHOCKS LIVING IN SINGAPORE! 🇸🇬,Joey Tan Hsien Min,2 years ago,"On the note of the helper thing, as a Singaporean who has a helper myself I feel uncomfortable having one. For anyone who has a helper, I don’t think it’s wrong to have one. But for me, I just feel like we should be the one doing the housework and cooking and what not. And I really feel for the helpers cause it must be really difficult for them to be in a foreign country and staying with different families.",23,View 6 replies,GC
CULTURE SHOCKS LIVING IN SINGAPORE! 🇸🇬,Christine,2 years ago,i believe we would love to find out more about the UK. culture.. conversation topics... hope to see more of that. :),3,,GC
CULTURE SHOCKS LIVING IN SINGAPORE! 🇸🇬,Fly Hi,2 years ago,"I loved Singapore but sometimes I admit it felt extraordinarily regimented, meaning everyone was I found so well behaved, everywhere. I found them a little robotic at times, though in some ways I think I admired what came across as the constant discipline. On the plus side of this, yes it is fantastically safe. We had an amah, but the way I looked at it was she needed the employment, she could have had it worse and she knew it. It beats not appreciating that and well, turfing them out to do whatever. I've watched a lot of your videos now, was very taken aback how mosquitos seemed to like you when you first got there, maybe still do? I never had a big issue with them there. For culture I'd cover religion there, best to take a local with you who understands what's going on and can guide you on the etiquette, but the Temples on Sin Ming drive, Ang Mo Kio are well worth covering I think, though they are very much working temples, funerals, offerings to God's, the lot is going on there but worth visiting whilst you're there I think. With food you're braver than I was though I started off willing to try anything to rapidly decide to maybe not be too adventurous, I think white sea fungus soup remains the worst thing I think I've ever tried :)",16,View 5 replies,GC
CULTURE SHOCKS LIVING IN SINGAPORE! 🇸🇬,Gertrude Perkins,2 years ago,"I think the main reason for the “living with your parents” here is that the housing policy is keeping the young adults and slightly older unmarried ones from affordable rents and/or home ownership. They  can’t buy a hdb flat until they’re either married or reach 35. By that time, i think they’d feel that its easier to just stay put while some would buy a house, which is restricted to 3-room flats. Anyway, good observation!",9,,GC
CULTURE SHOCKS LIVING IN SINGAPORE! 🇸🇬,Deb,2 years ago (edited),"Buying a house is so regulated here in Singapore that it can take a long while for it to be approved. Also, like everything else is Singapore, houses are not cheap, even HDB flats are expensive these days. Staying in the family house is not only a Singaporean thing, but generally a very Asian culture. Our parents don't really see us as adults until we get married, tbh. Some people also find that with their parents getting older, they should spend more time with them.",4,View 4 replies,GC
CULTURE SHOCKS LIVING IN SINGAPORE! 🇸🇬,starspawn,2 years ago (edited),"The stressful school life and emphasis on academics is prevalent in Asian society, not just Singapore.
Students in Singapore actually have it way better off than those in China, where the competition is insane and people treat their high school final exams almost like a life-or-death challenge.",2,,GC
CULTURE SHOCKS LIVING IN SINGAPORE! 🇸🇬,Yaiza Canopoli,2 years ago,I guess you could say they queue in a pequeueliar way,2,View 5 replies,GC
CULTURE SHOCKS LIVING IN SINGAPORE! 🇸🇬,Gurl Asian,2 years ago,When you said “school life for a lot of singaporeans is very stressful” I 100% agree to that. Like for real 😩,2,,GC
CULTURE SHOCKS LIVING IN SINGAPORE! 🇸🇬,Taufiq AR,2 years ago,nah we will work until we die,7,View reply,GC
CULTURE SHOCKS LIVING IN SINGAPORE! 🇸🇬,Joey Tan Hsien Min,2 years ago (edited),My heart breaks when I see the older generation working in Macs and what not. They really should rest in their older years. I think why it happens is cause some of them really don’t have the money. Another reason could be cause younger Singaporeans don’t really want to do those jobs so they end up falling to the older generation.,27,,GC
CULTURE SHOCKS LIVING IN SINGAPORE! 🇸🇬,Li yue yan,2 years ago,I am a Singaporean who studies in the US now. Your videos give me LIFE. Love u.,6,View reply,GC
CULTURE SHOCKS LIVING IN SINGAPORE! 🇸🇬,cocoa p.,2 years ago,"On queuing up, I'd survey the speed of each queue and pick the fastest one to queue! 😁",1,,GC
CULTURE SHOCKS LIVING IN SINGAPORE! 🇸🇬,angel neo,2 years ago,i agree with u on the elderlies working part,3,View reply from Georgia Caney,GC
CULTURE SHOCKS LIVING IN SINGAPORE! 🇸🇬,HM005,2 years ago,Oooh lol i rly wanted this my friend jyst mived to sydney so he has been telling me alot about australia....oh wait sydney is in australia,0,,GC
CULTURE SHOCKS LIVING IN SINGAPORE! 🇸🇬,Ahmed T Ahmed,2 years ago,Amazing how well you understood the South East Asian culture even though you have only been there for 3 years!,1,View reply,GC
CULTURE SHOCKS LIVING IN SINGAPORE! 🇸🇬,Yan C,1 year ago,The queueing method is a pet peeve for me as well... 😤,1,,GC
CULTURE SHOCKS LIVING IN SINGAPORE! 🇸🇬,choon yue wong,2 years ago,The UK queues are much better then. Been in a queue behind someone ordering 20 meals at McDonald's. Not fun.,6,View reply,GC
CULTURE SHOCKS LIVING IN SINGAPORE! 🇸🇬,pomegranat2000,2 years ago,"People of all ages work throughout North America in a lot of undesirable jobs now because the cost of rent in NA is skyrocketing, started a few years ago.",2,,GC
CULTURE SHOCKS LIVING IN SINGAPORE! 🇸🇬,haresh,2 years ago,i have a maid who i adress as aunty for respect. im 14 now she took care of me for 9 years !,4,View reply,GC
CULTURE SHOCKS LIVING IN SINGAPORE! 🇸🇬,Robin Koh,2 years ago,"I think the queueing system that you mentioned is being practiced in certain places such as banks, post offices etc. For f&b like McDonald's, it's mostly a line for each counter.",9,,GC
CULTURE SHOCKS LIVING IN SINGAPORE! 🇸🇬,Russell Cheok,2 years ago,Love your music in the background!,1,View reply,GC
CULTURE SHOCKS LIVING IN SINGAPORE! 🇸🇬,tocrob,2 years ago,"@8:55 - moving out to ""grow up"" is a myth.  More money spent is a certainty though.  Multi-generational living ( makes sense in many ways) is still encouraged in Singapore ... https://youtu.be/rUUTOJkEwMY  ( with a bit more privacy )",0,,GC
CULTURE SHOCKS LIVING IN SINGAPORE! 🇸🇬,Mas Anne,2 years ago,"Hi georgia. Let me give my 2 cents on living with parents. I am a singaporean myself and most time to be honest, singaporean have no choice to live w their parents till they are married cause only then u can literally buy a brand new HDB. If u r single, u can only purchase it when u hit 35. Unless, that singaporean is rich, he/she can move out and purchase a house early provided that it is a private housing or a resale HDB. In a nutshell, the average singaporean still lives with their parents because housing in singapore is crazy expensive from 3 room HDB ranging at $250,000-$350,000. Unless they are rich, then sure they can move out n buy a house :)",2,View reply,GC
CULTURE SHOCKS LIVING IN SINGAPORE! 🇸🇬,MrLoichin,2 years ago,Yes singaporeans speak/ eat / fart/ giggle/ fight/ snore/ SO LOUD!!!! Lol,2,,GC
CULTURE SHOCKS LIVING IN SINGAPORE! 🇸🇬,Topnotch tn,1 year ago,Living with roommates or relatives is also fairly common in NY because of the high rent.,0,View 4 replies from Georgia Caney and others,GC
CULTURE SHOCKS LIVING IN SINGAPORE! 🇸🇬,Ng Kian Tat,2 years ago,You're great ! ! ! Thumbs UP ! ! ! ♡ ♡ ♡ ♡ ♡ ♡ ♡ ♡,1,,GC
CULTURE SHOCKS LIVING IN SINGAPORE! 🇸🇬,peachyy,2 years ago,AHHH GEORGIA #EARLYSQUAD,3,View 2 replies,GC
CULTURE SHOCKS LIVING IN SINGAPORE! 🇸🇬,Ringcaat,11 months ago,I appreciate this outsider's perspective on Singaporean culture because I'm thinking of writing a novel set there for National Novel Writing Month. :),0,,GC
CULTURE SHOCKS LIVING IN SINGAPORE! 🇸🇬,Jude Dr Cruz,1 year ago,"Yea, Singaporeans love talking about food because we love to eat!! Not everyone eats loudly, it depends on proper manners and etiquette, because we have different local communities with different cultures so its mix of a lot of things!!!",1,View 2 replies,GC
CULTURE SHOCKS LIVING IN SINGAPORE! 🇸🇬,Me Win,2 years ago,I feel so lousy being a Singaporean after watching your video,0,,GC
CULTURE SHOCKS LIVING IN SINGAPORE! 🇸🇬,Kuen Lee,2 years ago,Sometimes if i'm in later but my Q is faster i'll gesture for those that were there first to move ahead if there's not many people behind me. But occassionally i do get frustrated and just go accordingly cos the counter is so slow....ESPECIALLY IN KFC!!!,3,View reply,GC
CULTURE SHOCKS LIVING IN SINGAPORE! 🇸🇬,n,2 years ago (edited),She may realized the rising cost of living in Singapore. Things are getting more expensive where the product quantity and quality was not there.,1,,GC
CULTURE SHOCKS LIVING IN SINGAPORE! 🇸🇬,Anthony 乘睦 Tan,2 years ago,"Living with parents. If let say you were talking about culture, traditional asian culture loves big family. However, in a modern sense, most staying with parents are because they cant buy a flat unless they are 35. Only married and above 35 are allowed to purchase a HDB flat. Renting a place in Singapore is too high a cost hence most choose to stay with parents. For me, i would prefer in a traditional culturally sense of big family living together but current circumstance i would want a flat of my own once im allowed to under HDB rules. ",2,View 14 replies,GC
CULTURE SHOCKS LIVING IN SINGAPORE! 🇸🇬,David Rubel,2 years ago,In the UK the only conversation you can have about food is how damned awful it is,1,,GC
CULTURE SHOCKS LIVING IN SINGAPORE! 🇸🇬,exas4791,2 years ago,Eating loudly ???,0,View reply,GC
CULTURE SHOCKS LIVING IN SINGAPORE! 🇸🇬,winteromeo,2 years ago (edited),You must have met a 7th month hungry ghost couple talking about seafood for 30 mind. 🤣,0,,GC
CULTURE SHOCKS LIVING IN SINGAPORE! 🇸🇬,Los Angels,2 years ago (edited),"What happened to the Singaporeans's typical shout "" We are RICH"" ?",0,View 2 replies,GC
CULTURE SHOCKS LIVING IN SINGAPORE! 🇸🇬,kadajlim,1 year ago,in some culture for e.g in a small family restaurant in japan u r slurping the ramen so loud suddenly u hear the chef say Arigato Gozaimasu(thank u) it's exactly a compliment 2d chef's cooking~,0,,GC
CULTURE SHOCKS LIVING IN SINGAPORE! 🇸🇬,haneul,2 years ago (edited),every single one of singaporean do have retirement money haha,0,CLAIM NOW!,GC
MISCONCEPTIONS FOREIGNERS HAVE ABOUT SINGAPORE! 🇸🇬,Eryette Yuuki,2 years ago,Hello lovely people!☺️What’s the craziest misconception you’ve heard about Singapore? Remember to LIKE the video and and subscribe if you enjoyed!👍🏻,86,View 24 replies,GC
MISCONCEPTIONS FOREIGNERS HAVE ABOUT SINGAPORE! 🇸🇬,grayce,2 years ago,"Thank you for telling the world that Singapore is NOT in China! 😍 
Multiple times I try to talk to Europeans during my travels only to see their shocked faces upon hearing my ""so-not-China-accent"" English. And when I share that I come from Singapore, where we have our education in English, a 6 hour flight away from China, located in South East Asia and an independent country of our own, I realise how little (or misinterpreted) they know of us.",433,,GC
MISCONCEPTIONS FOREIGNERS HAVE ABOUT SINGAPORE! 🇸🇬,zzajizz,2 years ago,"""Oh where are you from?""
"" hey! Im from Singapore!""
"" Singapore?!is that in china?"" 
🤦‍♀️",36,View 10 replies,GC
MISCONCEPTIONS FOREIGNERS HAVE ABOUT SINGAPORE! 🇸🇬,Azmi Basir,2 years ago,"SAF rule no. 7: do whatever the heck you want, just don;t get caught.",87,,GC
MISCONCEPTIONS FOREIGNERS HAVE ABOUT SINGAPORE! 🇸🇬,Stanley Peh,2 years ago,"I would like to correct by saying that Singapore is generally clean because of the cleaners. Even though there are dustbins everywhere, I see and know a lot of people who litter. While I was in Japan on the other hand, dustbins were so difficult to find! Yet it was really clean.",133,View 3 replies,GC
MISCONCEPTIONS FOREIGNERS HAVE ABOUT SINGAPORE! 🇸🇬,Sun Ny,2 years ago,"You can walk around naked in your own house, as long as you are not exposing yourself visibly to others. E.g. you do not pace around naked on your balcony where others can see you. Just draw your curtain and remain unseen is fine.",75,,GC
MISCONCEPTIONS FOREIGNERS HAVE ABOUT SINGAPORE! 🇸🇬,Justin Loh,2 years ago (edited),"Good that you have experienced firsthand and cleared the misconceptions foreigners have about Singapore. 
About chewing gum, it was believed that not long after MRT was in operation, there was a major train disruption.  The MRT staff spent many hours trying to figure out why the doors could not be closed and eventually they discovered that it was an act of a prankster who stuck chewing gum onto the MRT door sensor and so the door could not be closed. Such act, though may seem trivial, affected the public transport service and many manhours of the public and economy. ",111,View 2 replies,GC
MISCONCEPTIONS FOREIGNERS HAVE ABOUT SINGAPORE! 🇸🇬,Edesonism,2 years ago,"Caning is not used in the Singapore military as a corporal punishment.  Caning is only meted out to a criminal who committed a serious crime such as rape, robbery, etc.",122,,GC
MISCONCEPTIONS FOREIGNERS HAVE ABOUT SINGAPORE! 🇸🇬,Cyanide Pandemonium,2 years ago,If LTA officers spot you jaywalking you could be punished for it. Just gotta look out for cars and the authorities when jaywalking.,77,View 10 replies,GC
MISCONCEPTIONS FOREIGNERS HAVE ABOUT SINGAPORE! 🇸🇬,Milgram07,2 years ago,"YES, SINGAPORE IS NOT IN CHINA. THANK YOU.

Also, great video, thks for making this!💕",22,,GC
MISCONCEPTIONS FOREIGNERS HAVE ABOUT SINGAPORE! 🇸🇬,Hanirays S.,2 years ago,U can be naked in your house but just don't get caught by your neighbours cos normally they are the ones to call the coppers who classify this as causing public nuisance (rather than indecent exposure). Great video as always!,46,View 6 replies,GC
MISCONCEPTIONS FOREIGNERS HAVE ABOUT SINGAPORE! 🇸🇬,Lior Lim Jie Xin,2 years ago,"I'm Singaporean and I just heard about the one about it walking around the house naked being illegal. Well, guess you learn something new everyday. 😂",41,,GC
MISCONCEPTIONS FOREIGNERS HAVE ABOUT SINGAPORE! 🇸🇬,GH0305,2 years ago (edited),"Singapore is a multi-cultural, and so we have mainly Chinese (majority race), Malay, Indian, and lastly others (aka Europeans, and everything else not Singaporean)!! 🤗 And yes, WE ARE NOT FROM CHINA!! Caning usually is only for guys, if I am not wrong. But, just follow the basic laws, nothing will go wrong, don't do stupid shit like get in trouble with money laundering, loan sharks, and other crimes!",71,View 4 replies,GC
MISCONCEPTIONS FOREIGNERS HAVE ABOUT SINGAPORE! 🇸🇬,wan en,2 years ago,"Here’s a little background on why gums are banned in Singapore ... in 1983 , a proposal of ban was brought up by the minister of national development due to the mess created as you have guessed but our then prime minister , Mr Lee thought it would be too drastic and therefore no further action was taken . MRT was implemented and started running in 1987 which is a big deal for Singapore back then and some idiots decided it was fun to stick the gums on the door sensor causing disruptions to train services and the newly appointed prime minister , Mr Goh decided the ban on jan 1992.",22,,GC
MISCONCEPTIONS FOREIGNERS HAVE ABOUT SINGAPORE! 🇸🇬,Gilda Thamm,2 years ago,actually caning is not used almost at all in singapore schools!! haha i think it stopped a long time ago,95,View 2 replies,GC
MISCONCEPTIONS FOREIGNERS HAVE ABOUT SINGAPORE! 🇸🇬,sombrance,2 years ago (edited),"Hi Georgia, I'm a Singaporean living in Australia so I love watching your videos as they give me a glimpse of home. :) And you're great, of course. :D May I gently suggest that you not face the window when you are vlogging as the glare and reflection from your glasses are distracting and mask your beautiful eyes. I tried pushing up my glasses twice even though I wasn't wearing them because I was subconsciously trying to fix yours. You should have seen me in real life, it was funny. Just wanting to provide hopefully constructive feedback so that you can make better videos. :) I love you and will definitely keep supporting you. :)))",68,,GC
MISCONCEPTIONS FOREIGNERS HAVE ABOUT SINGAPORE! 🇸🇬,Joshua Loh,2 years ago (edited),"I think walking naked around the house is illegal is because... well... Singaporeans live in close proximity to one another in apartment buildings. Depending on where you live, you can usually see your neighbour opposite of you in their house. So well, to make sure no one gets blasted in the face with sudden nudity (who wants that ew), the government makes it illegal to be naked in your house. However, I do feel that it really is more of a social responsibility. The law is there to make sure you understand what is appropriate, especially when you have hundreds of people living so close together. But hey if you really want to walk around in the nude in your house, just close the blinds!",15,View 2 replies,GC
MISCONCEPTIONS FOREIGNERS HAVE ABOUT SINGAPORE! 🇸🇬,Thanos,2 years ago,U can do anything in Singapore just don’t get caught,9,,GC
MISCONCEPTIONS FOREIGNERS HAVE ABOUT SINGAPORE! 🇸🇬,mira,2 years ago,I live in Singapore and when the police is doing a school presentation about the laws when I was in Secondary school. They never mention anything regarding being naked in your properties. .-.,109,View 5 replies,GC
MISCONCEPTIONS FOREIGNERS HAVE ABOUT SINGAPORE! 🇸🇬,Random Heh,1 year ago,You'll get fined for JayWalking if there is a pedestrian crossing nearby and you still Jay Walk (If you get caught),3,,GC
MISCONCEPTIONS FOREIGNERS HAVE ABOUT SINGAPORE! 🇸🇬,nightdreamer,2 years ago,1:00 it's so easy to smuggle in lmao tbh,20,View reply,GC
MISCONCEPTIONS FOREIGNERS HAVE ABOUT SINGAPORE! 🇸🇬,Edric Hsu,2 years ago,"Public transport are currently not on good terms with us, Singaporeans😂😂",30,,GC
MISCONCEPTIONS FOREIGNERS HAVE ABOUT SINGAPORE! 🇸🇬,Thanos,2 years ago,"The ""do not walk around naked at home"" thing probably comes from people living so close to each other in the HDB apartments, where you can easily see across the carpark into your neighbours' units (hopefully not intentionally). Not so much about pornography but that most people do not wish to see their neighbours naked. My solution is to just install a layer of mosquito netting as a curtain, so the view is screened off for your own privacy. ;)",10,View 27 replies from Georgia Caney and others,GC
MISCONCEPTIONS FOREIGNERS HAVE ABOUT SINGAPORE! 🇸🇬,keretaman,2 years ago,"3:45 Well, what kind of question is that? Singaporean students have ""English"" Subject",83,,GC
MISCONCEPTIONS FOREIGNERS HAVE ABOUT SINGAPORE! 🇸🇬,Candy Antonio,2 years ago (edited),"6:38 ""We""? Hehe somebody really likes it here! Come stay all the way. And hopefully make more good videos! On a feel-good trip now watching your videos on SG",0,View 2 replies from Georgia Caney and others,GC
MISCONCEPTIONS FOREIGNERS HAVE ABOUT SINGAPORE! 🇸🇬,xeenslayer,2 years ago,"When I first moved here I was afraid to commit mistakes cos yes I thought of your #3, I’ll get fined for everything... but I have observed Singaporeans are jaywalking as well, so hell yeah so so I. Lol I should be the one less to abide their law (kidding) 😅 I am actually trying my best to follow... ✌🏻",0,,GC
MISCONCEPTIONS FOREIGNERS HAVE ABOUT SINGAPORE! 🇸🇬,Cerulean Noel,2 years ago,"I've been caught for jaywalking before and got a $20 fine.

In Singapore as with anywhere, anything is legal as long as you don't get caught. There are a ton of silly laws that people break all the time and the government just doesn't bother enforcing all the time. Just don't be that unlucky one when they happen to look!",1,View 2 replies,GC
MISCONCEPTIONS FOREIGNERS HAVE ABOUT SINGAPORE! 🇸🇬,Skye Cookiez,2 years ago,Anti Glare lens on your glasses would be better watching these videos 😊,75,,GC
MISCONCEPTIONS FOREIGNERS HAVE ABOUT SINGAPORE! 🇸🇬,S Daer,4 months ago,My fam got fined once for making alot of sounds at home but WE WERE MOVING IN WE HAVE TO RENOVATE BOI!🤣🤣🤣,0,View reply,GC
MISCONCEPTIONS FOREIGNERS HAVE ABOUT SINGAPORE! 🇸🇬,aremithia,2 years ago,"The ""can't be naked in your own home"" law was a reaction to a couple living in a HDB flat, parading themselves naked with curtains opened. The neighbours complained; the police was unable to persuade the couple to cover up. So, the Parliament drew up a law specifically to address that one situation.",0,,GC
MISCONCEPTIONS FOREIGNERS HAVE ABOUT SINGAPORE! 🇸🇬,Lim Zi xuan,2 years ago,"On a side note, you've hit your goal of 50k before the year ends! Congrats!",9,View 13 replies,GC
MISCONCEPTIONS FOREIGNERS HAVE ABOUT SINGAPORE! 🇸🇬,Alusias,1 year ago,I heard my mom said this before last time people like to throw chewing gum or bubble gum on the floor after eating,1,,GC
MISCONCEPTIONS FOREIGNERS HAVE ABOUT SINGAPORE! 🇸🇬,charvelle :P,2 years ago,"""what country are you from?""
""Singapore""
""Oh! In China right?""
""really? -.-""",1,View 3 replies,GC
MISCONCEPTIONS FOREIGNERS HAVE ABOUT SINGAPORE! 🇸🇬,AriseShine,2 years ago (edited),"Although you're a foreigner I could understand you clearly btw I'm from Singapore, it's national day!!!",2,,GC
MISCONCEPTIONS FOREIGNERS HAVE ABOUT SINGAPORE! 🇸🇬,Shahiran Salleh,2 years ago,6:30 as someone who drives with the family car... living in a bustling city... it's seriously much more peaceful to just use the public transport; especially during peak hours as the traffic here is crazy with many impatient drivers on the road...,0,View reply,GC
MISCONCEPTIONS FOREIGNERS HAVE ABOUT SINGAPORE! 🇸🇬,Joshua Loh,2 years ago (edited),You have an amazing set of pearlies!,1,,GC
MISCONCEPTIONS FOREIGNERS HAVE ABOUT SINGAPORE! 🇸🇬,tm garcia,2 years ago,When train breaks down so frequently,5,View 16 replies,GC
MISCONCEPTIONS FOREIGNERS HAVE ABOUT SINGAPORE! 🇸🇬,Andrew Lee,5 months ago,"Of course, you can get fined if caught jaywalking. I have friends who were fined before. Try it hehehe",0,,GC
MISCONCEPTIONS FOREIGNERS HAVE ABOUT SINGAPORE! 🇸🇬,Shafiqah Ramani,2 years ago,You won't necessarily get fined for jaywalking.. but you may get knocked down..,2,View 2 replies,GC
MISCONCEPTIONS FOREIGNERS HAVE ABOUT SINGAPORE! 🇸🇬,Choi San's an Artist,2 years ago,"I remember meeting some tourists who needed help with directions, and the first question was ""Do you speak English?"" I just stunned for a moment, and replied ""YAH?"" which didn't really support my case xD",0,,GC
MISCONCEPTIONS FOREIGNERS HAVE ABOUT SINGAPORE! 🇸🇬,San Soo,2 years ago,"You can jay walk when the the authorities aren't watching, you gotta keep ur eyes open and look out for them, or you're going to get fined.",2,View reply from Georgia Caney,GC
MISCONCEPTIONS FOREIGNERS HAVE ABOUT SINGAPORE! 🇸🇬,haresh,2 years ago,"u r lucky ,   Ive been caught for jaywalking  two times, littering 3 X, the people that got me are plain clothes environment people.  Caning still exist in schools but the parents need to consent before the kid is caned.",2,,GC
MISCONCEPTIONS FOREIGNERS HAVE ABOUT SINGAPORE! 🇸🇬,Belinda Leow,2 years ago,I SECRETLY EAT AND DRINK IN THE MRT WHEN I GO TO SCH damn thank god u told me,1,View 4 replies,GC
MISCONCEPTIONS FOREIGNERS HAVE ABOUT SINGAPORE! 🇸🇬,Innocent,2 years ago,I don't think it's 100% illegal to walk in your house naked. But it is NOT allowed to do so with your windows open where people can see you. & totally agree on the whole censorship. #givememyscenes,21,,GC
MISCONCEPTIONS FOREIGNERS HAVE ABOUT SINGAPORE! 🇸🇬,Rukiah Hassan,2 years ago,"as soon as i saw ""is singpaore in china?"" i was like WOT?! XDD",1,View 5 replies,GC
MISCONCEPTIONS FOREIGNERS HAVE ABOUT SINGAPORE! 🇸🇬,faehim Mirza,2 years ago,I HATE JAY-WALKING!!! AHHHHH!,1,,GC
MISCONCEPTIONS FOREIGNERS HAVE ABOUT SINGAPORE! 🇸🇬,Wyyman,2 years ago,Notification squadd,2,View reply,GC
